course_id,opening_date,closing_date,temps_min,temps_jours
course-v1:MinesTelecom+04021+session12,2022-05-03 18:00:37,2022-06-28 08:17:43,80057,56
course-v1:MinesTelecom+04024+session01,2017-03-27 10:20:04,2017-05-13 20:50:34,68310,47
course-v1:MinesTelecom+04025+session01,2017-05-15 11:03:34,2017-07-29 11:49:06,108045,75
course-v1:MinesTelecom+04026+session01,2017-05-12 08:49:57,2017-09-08 08:11:57,171322,119
course-v1:MinesTelecom+04026+session02,2018-01-12 15:58:32,2018-04-23 20:06:09,145687,101
course-v1:MinesTelecom+04026+session03,2018-09-25 08:33:09,2019-02-10 14:11:48,199058,138
course-v1:MinesTelecom+04026+session04,2019-02-04 14:53:27,2019-06-17 16:59:39,191646,133
course-v1:MinesTelecom+04026+session05,2019-09-10 07:56:47,2019-12-15 11:22:56,138446,96
course-v1:MinesTelecom+04026+session06,2020-02-11 14:06:20,2020-04-21 11:27:04,100640,70
course-v1:MinesTelecom+04026+session07,2020-09-04 07:58:20,2021-09-10 11:32:09,534453,371
course-v1:MinesTelecom+04026+session08,2021-02-23 07:48:07,2021-05-06 05:37:31,103549,72
course-v1:MinesTelecom+04026+session09,2021-09-28 11:31:15,2022-01-29 05:19:53,176748,123
course-v1:MinesTelecom+04026+session10,2022-02-22 17:43:58,2022-06-26 14:34:08,178370,124
course-v1:MinesTelecom+04036+session01,2019-11-19 11:17:43,2022-04-28 09:21:34,1282923,891
course-v1:MinesTelecom+04038+session01,2021-04-18 05:31:50,2021-07-27 07:17:26,144105,100
course-v1:MITx+Launch.x_2+2T2016,2016-06-19 11:39:14,2017-08-15 19:54:11,608174,422
course-v1:Paris1+16006+session01,2017-05-09 08:39:20,2017-07-01 11:25:06,76485,53
course-v1:paris13+78001+session01,2017-10-16 11:03:20,2018-01-02 23:09:49,113046,78
course-v1:Paris2+09004+session05,2018-01-08 09:18:46,2018-01-12 14:39:29,6080,4
course-v1:Paris2+09008+session02,2017-10-13 10:17:07,2018-01-02 20:11:00,117233,81
course-v1:parisdescartes+70002+session04,2017-11-15 11:38:07,2018-01-10 18:19:46,81041,56
course-v1:parisdiderot+56003+session02,2017-09-22 06:10:00,2017-11-22 20:05:25,88675,61
course-v1:ParisSaclay+71001+session03,2017-11-14 10:00:21,2018-01-11 19:55:34,84115,58
course-v1:pasteur+96011+session01,2018-11-02 00:41:33,2019-01-28 17:52:10,126310,87
course-v1:Polytechnique+03003+session1,2017-07-24 08:17:08,2017-09-21 20:13:39,85676,59
course-v1:psl+47002+session02,2017-10-02 08:36:39,2018-01-02 11:02:07,132625,92
course-v1:SciencesPo+05009+session01,2017-10-23 21:29:34,2018-01-12 11:59:30,116069,81
course-v1:ubordeaux+28001+session04,2017-09-07 07:24:41,2018-01-31 08:14:43,210290,146
course-v1:ubordeaux+28002+session01,2017-07-21 11:01:04,2018-01-11 12:43:41,250662,174
course-v1:ubordeaux+28002+session02,2019-02-13 11:41:58,2019-03-07 09:30:49,31548,22
course-v1:ubordeaux+28003+session02,2017-04-07 10:32:36,2017-07-17 17:07:21,145834,101
course-v1:ubordeaux+28003+session03,2018-02-14 10:31:20,2018-07-06 04:45:23,204134,142
course-v1:ubordeaux+28003+session04,2019-01-09 14:58:39,2019-03-04 17:18:30,77899,54
course-v1:ubordeaux+28005+session01,2017-10-02 10:20:20,2017-12-26 15:53:28,122733,85
course-v1:ubordeaux+28006+session01,2018-02-08 15:53:26,2019-03-01 20:27:40,556114,386
course-v1:UCA+107001+session01,2017-11-06 08:41:17,2017-12-26 16:12:17,72451,50
course-v1:UCA+107001+session02,2018-09-05 14:48:12,2020-08-27 09:01:37,1039333,722
course-v1:ulb+44001+session04,2017-10-23 12:29:35,2018-01-12 15:39:52,116830,81
course-v1:ulb+44010+session01,2017-10-02 10:55:01,2017-12-20 13:39:26,113924,79
course-v1:UMA+172001+session01,2019-11-02 09:17:09,2019-11-12 09:38:25,14421,10
course-v1:UMONS+88001+session02,2017-10-30 07:25:29,2018-02-10 17:06:13,148900,103
course-v1:umontpellier+08003+session02,2017-09-26 07:55:02,2017-12-22 23:57:33,126242,87
course-v1:umontpellier+08003+session04,2019-11-07 09:48:14,2020-02-06 06:21:41,130833,91
course-v1:umontpellier+08007+session01,2017-04-05 11:39:40,2017-07-24 07:37:23,158157,110
course-v1:umontpellier+08008+session01,2017-03-30 13:39:57,2017-07-26 15:30:56,170030,118
course-v1:unicaen+48001+session02,2017-09-22 08:38:32,2017-12-22 19:35:49,131697,91
course-v1:univ-toulouse+101001+session02,2017-10-02 12:52:34,2017-12-15 08:12:23,106279,74
course-v1:univ-toulouse+101002+session02,2018-02-07 20:59:01,2018-03-27 06:52:23,68273,48
course-v1:univ-toulouse+101003+session02,2017-10-02 11:10:08,2017-12-02 09:37:07,87746,61
course-v1:univ-toulouse+101003+session03,2018-11-12 06:54:36,2019-01-16 11:20:45,93866,65
course-v1:univ-toulouse+101005+session02,2018-01-09 15:25:19,2018-05-14 07:00:07,179494,125
course-v1:univ-toulouse+101005+session03,2018-12-02 19:41:41,2019-02-18 19:03:32,112281,78
course-v1:univ-toulouse+101008+session01,2017-11-06 09:32:46,2018-04-19 21:23:52,236871,164
course-v1:univ-toulouse+101014+session01,2018-05-07 10:20:40,2018-06-27 06:44:26,73223,51
course-v1:univ-toulouse+101016+session01,2018-11-05 10:17:09,2019-01-23 12:02:35,113865,79
course-v1:univartois+35001+session03,2017-05-09 09:42:15,2017-07-09 15:56:57,88214,61
course-v1:univnantes+31004+session04,2017-08-31 08:00:21,2017-11-06 08:19:07,96498,67
course-v1:UPF+67001+session01,2017-04-24 18:48:32,2017-06-08 00:18:40,63690,45
course-v1:UPSUD+42001+session08,2017-09-05 09:08:59,2017-11-11 17:04:55,96955,67
course-v1:UPSUD+42004+session02,2017-11-06 08:11:18,2018-01-12 14:35:53,96864,67
course-v1:UPVD+95002+session02,2017-12-04 22:04:13,2018-01-12 12:05:20,55561,39
course-v1:UPVD+95003+session01,2017-05-09 09:48:07,2017-07-27 10:30:38,113802,79
course-v1:UPVD+95003+session02,2017-11-06 07:52:11,2018-01-08 15:29:27,91177,63
course-v1:UPVD+95004+session01,2018-05-28 08:44:26,2018-07-30 14:58:16,91093,63
course-v1:USPC+37003+session02,2017-10-26 07:35:50,2017-12-22 11:41:38,82325,57
course-v1:USPC+37007+session01,2017-09-12 09:06:28,2017-11-24 10:12:06,105185,73
